disaster_name,disaster_type,start_date,end_date,adjusted_cost,unadjusted_cost,deaths,date category
Mountain West Severe Weather,Severe Storm,2018-07-26,2018-07-29,1055,851,0,July 2018
Rockies and Plains Hail Storms,Severe Storm,2018-08-06,2018-08-07,1271,1025,0,August 2018
Hurricane Florence,Tropical Cyclone,2018-09-13,2018-09-16,29760,24000,53,September 2018
Hurricane Michael,Tropical Cyclone,2018-10-10,2018-10-11,30969,24975,49,October 2018
Southwest/Southern Plains Drought,Drought,2018-06-01,2018-12-30,3767,2990,0,Summer-Fall 2018
"Western Wildfires, California Firestorm",Wildfire,2018-06-01,2018-12-31,29760,24000,106,Summer-Fall 2018
"Southeast, Ohio Valley and Northeast Severe Weather",Severe Storm,2019-02-23,2019-02-25,1534,1237,2,February 2019
Texas Hail Storm,Severe Storm,2019-03-22,2019-03-24,1888,1535,0,March 2019
Missouri River and North Central Flooding,Flooding,2019-03-14,2019-03-31,13301,10727,3,March 2019
Southern and Eastern Tornadoes and Severe Weather,Severe Storm,2019-04-13,2019-04-14,1527,1252,7,April 2019
South and Southeast Severe Weather,Severe Storm,2019-05-07,2019-05-13,1847,1514,0,May 2019
