,name,disaster,begDate,endDate,adjCost,unadjCost,deaths
51,Southeast Drought and Heat Wave (Summer 1993),Drought,19930601,19930831,2755.1,1258.0,16
52,California Wildfires (Fall 1993),Wildfire,19930901,19931130,2948.7,1371.5,4
53,"Winter Storm, Cold Wave (January 1994)",Winter Storm,19940117,19940120,2226.0,1040.0,70
54,Southeast Ice Storm (February 1994),Winter Storm,19940208,19940213,6384.8,2997.5,9
55,Midwest/Plains Tornadoes (April 1994),Severe Storm,19940425,19940427,2088.3,985.1,3
56,Tropical Storm Alberto (July 1994),Tropical Cyclone,19940707,19940710,2096.9,998.5,32
57,Texas Flooding (October 1994),Flooding,19941016,19941025,2090.0,1000.0,19
58,Western Fire Season (Summer-Fall 1994),Wildfire,19940601,19941130,1529.9,725.0,0
59,California Flooding (January-March 1995),Flooding,19950101,19950331,5200.0,2500.0,27
60,Texas Hail Storm (April 1995),Severe Storm,19950428,19950428,1184.5,575.0,0
61,South Plains Severe Weather (May 1995),Severe Storm,19950505,19950507,11247.3,5486.5,32
62,Hurricane Erin (August 1995),Tropical Cyclone,19950801,19950807,1734.0,850.0,6
63,Hurricane Marilyn (September 1995),Tropical Cyclone,19950915,19950917,4284.0,2100.0,13
64,"Central, Southern and Northeast Drought/Heat Wave (September 1995)",Drought,19950701,19950930,2007.4,984.0,872
65,Hurricane Opal (October 1995),Tropical Cyclone,19951004,19951006,9518.6,4689.0,27
66,Blizzard/Floods (January 1996),Winter Storm,19960101,19960131,6066.0,3003.0,187
67,Pacific Northwest Severe Flooding (February 1996),Flooding,19960207,19960212,2036.7,1008.3,9
68,Southern Plains Drought (Spring-Summer 1996),Drought,19960301,19960831,3618.7,1791.5,0
69,Hurricane Fran (September 1996),Tropical Cyclone,19960905,19960908,9913.9,5007.0,37
70,New England Flooding (October 1996),Flooding,19961019,19961022,1338.4,676.0,1
71,West Coast Flooding (December 1996-January 1997),Flooding,19970101,19970111,5913.3,3017.0,36
72,Mississippi and Ohio Valley Severe Weather and Flooding (March 1997),Severe Storm,19970228,19970305,1916.0,977.5,67
73,Northern Plains Flooding (Spring 1997),Flooding,19970203,19970524,7206.0,3676.5,11
74,Northeast Ice Storm (January 1998),Winter Storm,19980105,19980109,2705.4,1401.8,16
75,Western/Eastern Severe Weather and Flooding (Winter-Spring 1998),Severe Storm,19971201,19980228,1948.7,1004.5,132
76,Minnesota Severe Storms/Hail (May 1998),Severe Storm,19980515,19980515,3132.0,1631.3,1
77,"Northern Plains and Great Lakes Derecho, Tornadoes (June 1998)",Severe Storm,19980530,19980602,2185.9,1138.4,20
78,Central and Eastern Severe Storms and Flooding (June 1998),Severe Storm,19980620,19980624,1716.5,894.0,12
79,Tropical Storm Frances (September 1998),Tropical Cyclone,19980808,19980813,1337.0,700.0,2
80,Hurricane Bonnie (August 1998),Tropical Cyclone,19980827,19980829,1871.9,980.0,3
81,Southern Drought and Heat Wave (Summer 1998),Drought,19980601,19980831,6809.1,3528.0,200
82,Hurricane Georges (September 1998),Tropical Cyclone,19980920,19980929,11430.3,5984.5,16
83,Texas Flooding (October 1998),Flooding,19981016,19981024,1790.0,942.1,31
84,California Freeze (December 1998),Freeze,19981220,19981228,4825.0,2500.0,0
85,Central and Eastern Winter Storm (January 1999),Winter Storm,19990101,19990104,1962.0,1032.5,25
86,Central and Eastern Winter Storm (Mid-January 1999),Winter Storm,19990113,19990116,1676.1,882.0,0
87,Oklahoma and Kansas Tornadoes (May 1999),Severe Storm,19990503,19990506,3782.7,2012.1,55
88,Eastern Drought/Heat Wave (Summer 1999),Drought,19990601,19990831,4747.9,2498.9,502
89,Hurricane Floyd (September 1999),Tropical Cyclone,19990914,19990916,12073.2,6491.0,77
90,Southeast Winter Storm (January 2000),Winter Storm,20000121,20000124,1306.2,706.0,4
91,Southern Severe Weather (March 2000),Severe Storm,20000328,20000329,1255.8,690.0,0
92,Western Fire Season (Spring-Summer 2000),Wildfire,20000301,20000831,1956.5,1075.0,0
93,South Florida Flooding (October 2000),Flooding,20001003,20001004,1620.0,900.0,3
94,Western/Central/Southeast Drought/Heat Wave (Spring-Fall 2000),Drought,20000301,20001130,9244.8,4997.2,140
95,Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,20010406,20010411,5477.7,3094.8,3
96,North Central Severe Weather (May 2001),Severe Storm,20010430,20010501,1187.7,671.0,0
97,Tropical Storm Allison (June 2001),Tropical Cyclone,20010605,20010617,14913.7,8522.0,43
98,Severe Storms and Tornadoes (April 2002),Severe Storm,20020427,20020428,3643.5,2093.8,7
99,Hurricane Lili (October 2002),Tropical Cyclone,20020801,20020805,1910.8,1104.5,2
100,Tropical Storm Isidore (September 2002),Tropical Cyclone,20020925,20020927,1989.5,1150.0,5
101,Eastern Tornadoes and Severe Storms (November 2002),Severe Storm,20021109,20021111,1238.4,720.0,28
102,U.S. Drought (Spring-Fall 2002),Drought,20020301,20021130,15851.3,9006.4,0
103,Western Fire Season (Fall 2002),Wildfire,20020901,20021130,2288.5,1322.8,21
104,Severe Storms/Hail (April 2003),Severe Storm,20030404,20030407,3410.9,2006.3,3
105,Severe Storms/Tornadoes (May 2003),Severe Storm,20030503,20030510,7018.2,4128.4,51
106,Midwest/Plains Severe Weather (July 2003),Severe Storm,20030704,20030709,1458.6,858.1,7
107,Southern Derecho and Eastern Severe Weather (July 2003),Severe Storm,20030721,20030723,1713.7,1008.2,7
108,Hurricane Isabel (September 2003),Tropical Cyclone,20030918,20030919,9268.0,5484.0,55
109,Western/Central Drought/Heat Wave (Spring-Fall 2003),Drought,20030301,20031130,8630.3,5017.7,35
110,California Wildfires (Fall 2003),Wildfire,20030901,20031130,6574.7,3890.4,22
111,"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,20040521,20040527,1673.0,1013.9,4
112,Colorado Hail Storms (June 2004),Severe Storm,20040608,20040609,1146.8,695.0,0
113,Hurricane Charley (August 2004),Tropical Cyclone,20040813,20040814,26399.2,15999.5,35
114,Hurricane Frances (September 2004),Tropical Cyclone,20040903,20040909,16072.0,9800.0,48
115,Hurricane Ivan (September 2004),Tropical Cyclone,20040912,20040921,33620.9,20500.5,57
116,Hurricane Jeanne (September 2004),Tropical Cyclone,20040915,20040929,12294.2,7496.5,28
117,Southeast Severe Weather (March 2005),Severe Storm,20050324,20050327,1401.3,865.0,0
118,Hurricane Dennis (July 2005),Tropical Cyclone,20050709,20050711,3992.0,2495.0,15
119,Hurricane Katrina (August 2005),Tropical Cyclone,20050825,20050830,198796.8,125029.5,1833
120,Midwest Drought (Spring-Summer 2005),Drought,20050301,20050831,2418.7,1474.8,0
121,Hurricane Rita (September 2005),Tropical Cyclone,20050920,20050924,29045.2,18500.1,119
122,Hurricane Wilma (October 2005),Tropical Cyclone,20051024,20051024,29830.0,19000.0,35
123,Severe Storms and Tornadoes (March 2006),Severe Storm,20060308,20060313,2086.7,1337.5,10
124,"Midwest/Southeast Tornadoes (April 6-8, 2006)",Severe Storm,20060406,20060408,2486.0,1603.8,10
125,Midwest Tornadoes (April 2006),Severe Storm,20060413,20060416,3756.4,2423.5,27
126,Northeast Flooding (June 2006),Flooding,20060625,20060628,2343.2,1521.6,20
127,North Central Severe Weather and Tornadoes (August 2006),Severe Storm,20060823,20060824,1161.4,759.0,1
128,Midwest/Plains/Southeast Drought (Spring-Summer 2006),Drought,20060301,20060831,9476.8,5997.9,0
129,Central Severe Weather (October 2006),Severe Storm,20061002,20061005,1362.6,879.0,1
130,Numerous Wildfires (2006),Wildfire,20060101,20061231,2318.1,1467.1,28
131,California Freeze (January 2007),Freeze,20070111,20070117,2156.0,1400.0,1
132,Spring Freeze (April 2007),Freeze,20070404,20070410,3147.9,2044.0,0
133,East/South Severe Weather and Flooding (April 2007),Severe Storm,20070413,20070417,3786.8,2507.8,9
